"General Settings","General Settings"
"SEO Settings","SEO Settings"
"Disable Meta Keywords Tag and Empty Meta Description Tags?","Disable Meta Keywords Tag and Empty Meta Description Tags?"
"Make ""alt"" tags mandatory on product gallery images?","Make ""alt"" tags mandatory on product gallery images?"
"Apply NOINDEX to filtered category pages","Apply NOINDEX to filtered category pages"
"Apply NOINDEX to Search Results","Apply NOINDEX to Search Results"
"Enable Canonical Product Redirecting","Enable Canonical Product Redirecting"
"Force Homepage Title (disregard prefix/suffix)","Force Homepage Title (disregard prefix/suffix)"
"Enable CMS Canonical Meta Tags","Enable CMS Canonical Meta Tags"
"Use standard or secure URLs in CMS canonical tags?","Use standard or secure URLs in CMS canonical tags?"
"Add slashes to end of canonical CMS URL?","Add slashes to end of canonical CMS URL?"
"Enabled","Enabled"
"Default Page Titles and Meta Descriptions","Default Page Titles and Meta Descriptions"
"Enable Default Product Title?","Enable Default Product Title?"
"Default Product Title","Default Product Title"
"Enable Default Product Meta Description?","Enable Default Product Meta Description?"
"Default Product Meta Description","Default Product Meta Description"
"Enable Default Category Title?","Enable Default Category Title?"
"Default Category Title","Default Category Title"
"Enable Default Category Meta Description?","Enable Default Category Meta Description?"
"Default Category Meta Description","Default Category Meta Description"
"Product Tracking Code","Product Tracking Code"
"Category Tracking Code","Category Tracking Code"
"CMS Page Tracking Code","CMS Page Tracking Code"
